Date,Reviews,Source,Rating,Designation,Employee Status
2023-07-27,"Its high time we take it to the OEMS, lets say it - THE GREEN LINE ISSUE IS HAPPENING AFTER SOFTWARE UPDATES AND OEMs ARE SUPPOSED TO FIX THEM !! It shouldnt matter if the phone is out of warranty, since these updates they are pushing should have been properly tested. #Motorola",Twitter,,,
2023-07-27,"The technology in question is a European radio standard called TETRA (Terrestrial Trunked Radio).

It's used in radios made by Motorola, Damm, Hytera, and others and is embedded in critical infrastructure like pipelines, railways, and the electric grid.",Twitter,,,
2023-07-28,And Now Motorola too,Twitter,,,
2023-07-21,"First look of Android 13 on Moto G82.
#android13 #motorola #motoG82 
@FanboyMoto
 @AnshuTechblog
 @Abhishekzobb",Twitter,,,
2023-07-23,I would like to do something useful I have encyclopedias in Motorola,Twitter,,,
2023-07-25,"World's first ever commercial mobile phone from Motorola! 

8 hours to charge for 30 mins use! ",Twitter,,,
2023-07-26,"Some people: We want RGB lights on our phone
Motorola,BBK, Samsung: Yeah why not we will give through a software update..

Xweet would be delicious!!!(Retweet)",Twitter,,,
2023-07-28,never had SAUCE I HAD A MOTOROLA WHEN I WAS 15,Twitter,,,
2023-07-21,"I'm OBSESSED with the aesthetics, how the guy Fontaine hit with a car had a motorola razr and she's talking about bitcoin and cryptocurrency, said he won in 1995

I love when the era is intentionally confusing, yes confuse me #TheyClonedTyrone",Twitter,,,
2023-07-22,the new phone Motorola connects People,Twitter,,,
2023-07-23,"In celebration of reaching 1,519 followers, I present Patent 3,226,611 - ""Semiconductor Device"" by Jack Haenichen at Motorola. Filed August 23, 1962.",Twitter,,,
2023-07-21,"POV: I offer you Motorola phones, but you chose the one that I was gonna have...",Twitter,,,
2023-07-27,"#flipkart_victim #flipkartscam 
Order ID: ""OD226291578834401000"".  Flipkart Motorola confirmed replacement by 20-07-23. 
Courier picked up the machine on 07-July-2023.
Removed all return/replacement history after pick UP.
@Flipkart
 @motorolaindia
 @Moto_Support
 @flipkartsupport",Twitter,,,
2023-07-26,The ultimate foldable with the largest external display of any flip phone is ready to be yours. #FlipTheScript #razr40ultra,Twitter,,,
2023-07-19,it looks like a motorola ,Twitter,,,
2023-07-27,Samsung's Cover Display ,Twitter,,,
2023-07-24,".
@motorolaindia
 is ready to refresh its affordable Moto G lineup with the launch of the #Motorola G14. After introducing the flagship Razr 40 flip phone series, the company is now all set to unveil the G14 in #India on #August 1st. 
Details - https://tinyurl.com/4mpt2y7w",Twitter,,,
2023-07-21,"newjeans: apple
fifty fifty: motorola",Twitter,,,
2023-07-19,"nono las FOTONES que saca el motorola, nomás hay que saber usar la cámara",Twitter,,,
2023-07-27,"Can't believe im using two phones, one i have everything and the other is my old phone for games because this phone sucks and the old one runs them fine, like i dont understand

So PLEASE for the love of god, never buy a motorola phone.",Twitter,,,
2023-07-23,"Introducing the complete reverse, diametrically opposite, the ultimate nemesis of Jony Ive's design philosophy.

Motorola APX 6000/8000 series radios.
Made in USA.

Datasheet: https://motorolasolutions.com/content/dam/msi/docs/products/apx/apx6000xe-enhanced/APX6000XEEnhanced_DataSheet.pdf…",Twitter,,,
2023-07-27,My First mobile was Motorola (Keypad) & Yours,Twitter,,,
2023-07-27,The foldable Motorola Razr+ delivers a powerful dual-screen smartphone experience in a light and fashionable package while lowering the price from previous generations.,Twitter,,,
