Date,Source,Rating,Designation,Employee Status,Reviews,Sentiment Score,Sentiment
2023-07-27,Twitter,,,,Its high time we take it OEMS lets say it GREEN LINE ISSUE HAPPENING AFTER SOFTWARE UPDATES OEMs SUPPOSED FIX THEM It shouldnt matter if phone out warranty since these updates pushing should have been properly tested Motorola,-0.0191,Neutral
2023-07-27,Twitter,,,,technology in question European radio standard called TETRA Terrestrial Trunked Radio Its used in radios made by Motorola Damm Hytera others embedded in critical infrastructure like pipelines railways electric grid,0.0516,Good
2023-07-28,Twitter,,,,Now Motorola too,0.0,Neutral
2023-07-21,Twitter,,,,First look Android 13 Moto G82 android13 motorola motoG82 FanboyMoto AnshuTechblog Abhishekzobb,0.0,Neutral
2023-07-23,Twitter,,,,would like something useful have encyclopedias in Motorola,0.6597,Good
2023-07-25,Twitter,,,,Worlds first ever commercial mobile phone from Motorola 8 hours charge 30 mins use,0.0,Neutral
2023-07-26,Twitter,,,,Some people We want RGB lights phone MotorolaBBK Samsung Yeah why not we give through software update Xweet would deliciousRetweet,0.3612,Good
2023-07-28,Twitter,,,,never had SAUCE HAD MOTOROLA WHEN WAS 15,0.0,Neutral
2023-07-21,Twitter,,,,Im OBSESSED with aesthetics how guy Fontaine hit with car had motorola razr shes talking about bitcoin cryptocurrency said he won in 1995 love when era intentionally confusing yes confuse me TheyClonedTyrone,0.7482,Good
2023-07-22,Twitter,,,,new phone Motorola connects People,0.0,Neutral
2023-07-23,Twitter,,,,In celebration reaching 1519 followers present Patent 3226611 Semiconductor Device by Jack Haenichen Motorola Filed August 23 1962,0.2023,Good
2023-07-21,Twitter,,,,POV offer Motorola phones but chose one that was gonna have,0.0,Neutral
2023-07-27,Twitter,,,,flipkartvictim flipkartscam Order ID OD226291578834401000 Flipkart Motorola confirmed replacement by 200723 Courier picked up machine 07July2023 Removed all returnreplacement history after pick UP Flipkart motorolaindia MotoSupport flipkartsupport,0.0,Neutral
2023-07-26,Twitter,,,,ultimate foldable with largest external display flip phone ready yours FlipTheScript razr40ultra,0.3612,Good
2023-07-19,Twitter,,,,it looks like motorola,0.3612,Good
2023-07-27,Twitter,,,,Samsungs Cover Display,0.0,Neutral
2023-07-24,Twitter,,,,motorolaindia ready refresh its affordable Moto G lineup with launch Motorola G14 After introducing flagship Razr 40 flip phone series company now all set unveil G14 in India August 1st Details httpstinyurlcom4mpt2y7w,0.4404,Good
2023-07-21,Twitter,,,,newjeans apple fifty fifty motorola,0.0,Neutral
2023-07-19,Twitter,,,,nono las FOTONES que saca el motorola nomás hay que saber usar la cámara,0.0,Neutral
2023-07-27,Twitter,,,,Cant believe im using two phones one have everything other my old phone games because phone sucks old one runs them fine like dont understand PLEASE love god never buy motorola phone,-0.4538,Bad
2023-07-23,Twitter,,,,Introducing complete reverse diametrically opposite ultimate nemesis Jony Ives design philosophy Motorola APX 60008000 series radios Made in USA Datasheet httpsmotorolasolutionscomcontentdammsidocsproductsapxapx6000xeenhancedAPX6000XEEnhancedDataSheetpdf…,0.0,Neutral
2023-07-27,Twitter,,,,My First mobile was Motorola Keypad Yours,0.0,Neutral
2023-07-27,Twitter,,,,foldable Motorola Razr delivers powerful dualscreen smartphone experience in light fashionable package while lowering price from previous generations,0.2023,Good
2023-07-25,Twitter,,,,Thanks Arnab sir republic made tweet part Motorola Moment But matter really serious if opposition really wants serious discussion then have learn cooporate first,-0.1727,Bad
2023-07-26,Twitter,,,,Did Samsung just tell Motorola Get back rear line FlipYourWorld,0.0,Neutral
2023-07-25,Twitter,,,,ICYMI Motorola’s next affordable smartphone Moto G14 coming sooner than we expected,0.0,Neutral
2023-07-26,Twitter,,,,Mimochodem Arsen Pavlov si prý zvolil volací znak Motorola podle svého prvního mobilu Jsem ráda že se tenhle zvyk neujal protože můj první mobil byl Alcatel One Touch Easy zní jako že jsem nějaká rádodajka bych si raději říkala Nokia 5110 – elegantní nezničitelná,0.4404,Good
2023-07-19,Twitter,,,,Yallyour age mates used faint from too drunk from sneaking alcohol into school grounds Just cause your motorola couldnt post internet doesnt mean it didnt happen,-0.34,Bad
2023-07-27,Twitter,,,,Motorola Razr walked Samsung Galaxy Z Flip5 could run,0.0,Neutral
2023-07-20,Twitter,,,,Which think bestlooking Flagship Smartphone Google Pixel vs OnePlus 11 vs Motorola vs Samsung S23 Ultra vs Xiaomi 13 Ultra vs Apple iPhone vs Nothing Phone 2,0.1027,Good
2023-07-23,Twitter,,,,should allowed put iOS phone want…like that Motorola RAZR JustSayin,0.0,Neutral
2023-07-20,Twitter,,,,Android 13 update has arrived Motorola Edge 30 Neo PiunikaWeb AndroidAUT FanboyMoto,0.0,Neutral
2023-07-26,Twitter,,,,Motorola Moto G 2022 just got its official Android 13 update available in some operators already least Cricket httpsandroidupdatetrackercompmotorolamotog2022… MotoG2022 MotorolaMotoG Android13,0.0,Neutral
2023-07-20,Twitter,,,,Motorolas 2023 Moto G Stylus 5G rare phone with penlike stylus delivers pleasing screen commendable battery life goodenough performance reasonable price,0.5267,Good
2023-07-28,Twitter,,,,rip original charger that came with my phone like damn motorola your chargers awesome,0.7351,Good
